name,type,ymax,ymin,K,n,IL,IH,equation
0,P3_PhlF,NOR,79.03837953,0.079824094,2.837616503,5.05419803,2.838751914,11.10442207,ymin+(ymax-ymin)/(1.0+(x/K)^n)
1,S4_SrpR,NOR,37.47832267,0.075382018,0.920887926,3.151379683,0.922066553,6.596479106,ymin+(ymax-ymin)/(1.0+(x/K)^n)
2,B3_BM3R1,NOR,9.228944563,0.068052594,3.130749843,3.776012984,3.143092665,11.44557586,ymin+(ymax-ymin)/(1.0+(x/K)^n)
3,A1_AmtR,NOR,33.01167315,0.659369427,0.595688986,1.737459254,0.609831406,5.533553074,ymin+(ymax-ymin)/(1.0+(x/K)^n)
4,H1_HlyIIR,NOR,16.58612008,0.100693656,1.414959792,2.401131171,1.422177026,11.79620201,ymin+(ymax-ymin)/(1.0+(x/K)^n)
5,Q2_QacR,NOR,28.0465597,0.26636975,2.683631456,2.82472426,2.701913085,13.85913685,ymin+(ymax-ymin)/(1.0+(x/K)^n)
6,I1_IcaRA,NOR,17.9001218,0.685343078,1.608204534,1.514038909,1.695089822,13.16323787,ymin+(ymax-ymin)/(1.0+(x/K)^n)
7,E1_BetI,NOR,40.40521301,0.287164404,2.757154998,2.556416683,2.772638685,18.98399908,ymin+(ymax-ymin)/(1.0+(x/K)^n)
8,F1_AmeR,NOR,28.92404143,0.655932888,0.788535636,1.33207058,0.81649667,13.06643255,ymin+(ymax-ymin)/(1.0+(x/K)^n)
