name,type,ymax,ymin,K,n,IL,IH,equation
0,P3_PhlF,NOR,89.05556796,0.077366329,1.728812861,4.621529284,1.729463504,7.942240667,ymin+(ymax-ymin)/(1.0+(x/K)^n)
1,S4_SrpR,NOR,38.82552374,0.077366329,0.520765834,2.982880795,0.52146347,4.182306339,ymin+(ymax-ymin)/(1.0+(x/K)^n)
2,B3_BM3R1,NOR,9.147585652,0.071782731,1.961110615,3.526559653,1.969927176,7.718524227,ymin+(ymax-ymin)/(1.0+(x/K)^n)
3,A1_AmtR,NOR,38.11618095,0.607391202,0.325200887,1.709304862,0.331421838,3.594196538,ymin+(ymax-ymin)/(1.0+(x/K)^n)
4,H1_HlyIIR,NOR,17.11499628,0.090798468,0.752096797,2.199927148,0.755752448,8.098948893,ymin+(ymax-ymin)/(1.0+(x/K)^n)
5,Q2_QacR,NOR,29.79521838,0.212243144,1.533476321,2.601806786,1.541956977,10.19994766,ymin+(ymax-ymin)/(1.0+(x/K)^n)
6,I1_IcaRA,NOR,21.87418741,0.716266207,0.875700477,1.409594639,0.918806181,9.438011595,ymin+(ymax-ymin)/(1.0+(x/K)^n)
7,E1_BetI,NOR,40.93476053,0.247402141,1.607404392,2.407617201,1.615544203,13.34935688,ymin+(ymax-ymin)/(1.0+(x/K)^n)
8,F1_AmeR,NOR,28.52949449,0.566372373,0.375159592,1.235329248,0.38766737,8.667595575,ymin+(ymax-ymin)/(1.0+(x/K)^n)
